DATA,UNIDADE,PRECO
2017-01-18,arroba,107.0
2017-01-19,arroba,107.0
2017-01-20,arroba,107.0
2017-01-23,arroba,107.0
2017-01-24,arroba,107.0
2017-01-25,arroba,107.0
2017-01-26,arroba,107.0
2017-01-27,arroba,107.0
2017-01-30,arroba,107.0
2017-02-01,arroba,107.0
2017-02-02,arroba,107.0
2017-02-03,arroba,91.8
2017-02-06,arroba,91.8
2017-02-07,arroba,91.8
2017-02-08,arroba,91.8
2017-02-09,arroba,91.8
2017-02-10,arroba,107.0
2017-02-13,arroba,91.8
2017-02-14,arroba,90.79
2017-02-15,arroba,90.79
2017-02-16,arroba,90.79
2017-02-17,arroba,90.79
2017-02-20,arroba,90.79
2017-02-21,arroba,90.79
2017-02-22,arroba,90.79
2017-02-23,arroba,90.79
2017-03-02,arroba,90.29
2017-03-03,arroba,90.29
2017-03-06,arroba,90.29
2017-03-07,arroba,90.29
2017-03-08,arroba,90.29
2017-03-09,arroba,90.29
2017-03-10,arroba,90.29
2017-03-13,arroba,90.29
2017-03-14,arroba,90.29
2017-03-15,arroba,90.29
2017-03-16,arroba,90.96
2017-03-17,arroba,90.96
2017-03-20,arroba,90.96
2017-03-21,arroba,89.28
2017-03-22,arroba,89.28
2017-03-23,arroba,89.28
2017-03-24,arroba,89.28
2017-03-27,arroba,89.28
2017-03-28,arroba,89.28
2017-03-29,arroba,89.28
2017-03-30,arroba,89.28
2017-03-31,arroba,89.28
2017-04-03,arroba,89.28
2017-04-04,arroba,89.28
2017-04-05,arroba,89.28
2017-04-06,arroba,89.28
2017-04-07,arroba,89.28
2017-04-10,arroba,89.28
2017-04-11,arroba,89.28
2017-04-12,arroba,89.28
2017-04-13,arroba,89.28
2017-04-18,arroba,89.28
2017-04-19,arroba,89.28
2017-04-20,arroba,89.28
2017-04-24,arroba,89.28
2017-04-25,arroba,89.28
2017-04-26,arroba,89.28
2017-04-27,arroba,89.28
2017-05-02,arroba,89.28
2017-05-03,arroba,89.28
2017-05-04,arroba,89.28
2017-05-05,arroba,89.28
2017-05-08,arroba,89.28
2017-05-09,arroba,89.28
2017-05-10,arroba,89.28
2017-05-11,arroba,89.28
